Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20230626,1,Ndata,1360.6,1360.5,1360.6,1360.6,1360.5
FN,20230626,1,Ndata,1349.7,1349.6,1349.7,1349.7,1349.7
FA,20230626,1,Ndata,1360.6,1360.5,1360.6,1360.6,1360.6
FN,20230626,1,Sample,1400.9,1400.9,1400.8,1400.9,1400.8
FA,20230627,2,Ndata,1360.8,1360.9,1360.9,1360.8,1360.9
FN,20230627,2,Ndata,1344.3,1344.2,1344.2,1344.3,1344.3
FA,20230627,2,Ndata,1360.6,1360.6,1360.6,1360.6,1360.6
FN,20230627,2,Sample,1402.4,1402.3,1402.3,1402.3,1402.3
FA,20230628,3,Ndata,1360.6,1360.6,1360.6,1360.6,1360.6
FN,20230628,3,Ndata,1342.8,1342.8,1342.8,1342.8,1342.8
FA,20230628,3,Ndata,1360.7,1360.6,1360.6,1360.6,1360.6
FN,20230628,3,Sample,1413.6,1413.6,1413.5,1413.6,1413.6
FA,20230629,4,Ndata,1360.6,1360.6,1360.6,1360.6,1360.6
FN,20230629,4,Ndata,1347.4,1347.5,1347.4,1347.5,1347.4
FA,20230629,4,Ndata,1360.6,1360.6,1360.7,1360.6,1360.7
FN,20230629,4,Sample,1426.9,1426.9,1426.8,1426.9,1426.9
FA,20230630,5,Ndata,1360.7,1360.6,1360.6,1360.7,1360.6
FN,20230630,5,Ndata,1342.4,1342.4,1342.5,1342.4,1342.4
FA,20230630,5,Ndata,1360.5,1360.6,1360.6,1360.5,1360.6
FN,20230630,5,Sample,1407.6,1407.7,1407.7,1407.6,1407.7
FA,20230703,6,Ndata,1360.5,1360.6,1360.6,1360.5,1360.6
FN,20230703,6,Ndata,1341.3,1341.3,1341.2,1341.3,1341.3
FA,20230703,6,Ndata,1360.7,1360.7,1360.6,1360.7,1360.7
FN,20230703,6,Sample,1414.3,1414.3,1414.4,1414.3,1414.3
FA,20230704,7,Ndata,1360.7,1360.7,1360.6,1360.7,1360.7
FN,20230704,7,Ndata,1346.1,1346,1346.1,1346.1,1346
FA,20230704,7,Ndata,1360.4,1360.4,1360.4,1360.5,1360.4
FN,20230704,7,Sample,1426.7,1426.6,1426.6,1426.6,1426.7
FA,20230705,8,Ndata,1360.6,1360.7,1360.7,1360.7,1360.7
FN,20230705,8,Ndata,1342.1,1342,1342.1,1342.1,1342.2
FA,20230705,8,Ndata,1360.7,1360.7,1360.8,1360.7,1360.7
FN,20230705,8,Sample,1434.4,1434.3,1434.3,1434.4,1434.3
FA,20230707,9,Ndata,1360.7,1360.7,1360.8,1360.7,1360.7
FN,20230707,9,Ndata,1341.3,1341.3,1341.4,1341.3,1341.4
FA,20230707,9,Ndata,1360.8,1360.9,1360.8,1360.8,1360.9
FN,20230707,9,Sample,1439.4,1439.4,1439.4,1439.4,1439.3
FA,,10,Ndata,1339.1,1339,1339.1,1339,1339
FN,,10,Ndata,1360.7,1360.7,1360.8,1360.7,1360.7
FA,,10,Ndata,,,,,
FN,,10,Sample,,,,,
FA,,11,Ndata,,,,,
FN,,11,Ndata,,,,,
FA,,11,Ndata,,,,,
FN,,11,Sample,,,,,
FA,,12,Ndata,,,,,
FN,,12,Ndata,,,,,
FA,,12,Ndata,,,,,
FN,,12,Sample,,,,,
FA,,13,Ndata,,,,,
FN,,13,Ndata,,,,,
FA,,13,Ndata,,,,,
FN,,13,Sample,,,,,
FA,,14,Ndata,,,,,
FN,,14,Ndata,,,,,
FA,,14,Ndata,,,,,
FN,,14,Sample,,,,,
FA,,15,Ndata,,,,,
FN,,15,Ndata,,,,,
FA,,15,Ndata,,,,,
FN,,15,Sample,,,,,
